10500001,522,本商品單次購買10本85折493元
10500004,225,本商品單次購買10本8折200元
10500005,432,本商品單次購買10本85折408元
10500008,90,None
10500009,105,None
10500011,90,None
10500012,90,None
10500014,90,None
10500015,209,None
10500017,225,本商品單次購買10本8折200元
10500019,181,None
10500020,432,本商品單次購買10本85折408元
10500021,190,None
10500027,342,本商品單次購買10本85折323元
10500029,288,本商品單次購買10本85折272元
10500030,405,本商品單次購買10本85折383元
10500034,495,本商品單次購買10本85折468元
10500035,90,本商品單次購買10本8折80元
10500036,288,本商品單次購買10本85折272元
10500037,288,本商品單次購買10本8折256元
10500038,252,本商品單次購買10本8折224元
10500040,216,本商品單次購買10本8折192元
10500043,269,本商品單次購買10本8折239元
10500044,221,2021/12/12
10500046,252,本商品單次購買10本8折224元
10500048,252,本商品單次購買10本8折224元
10500050,216,本商品單次購買10本8折192元
10500051,237,2021/11/30
10500052,198,本商品單次購買10本8折176元
10500054,198,本商品單次購買10本8折176元
10500055,342,本商品單次購買10本8折304元
10500056,270,本商品單次購買10本8折240元
10500057,216,本商品單次購買10本8折192元
10500059,225,本商品單次購買10本8折200元
10500061,342,本商品單次購買10本8折304元
10500062,269,本商品單次購買10本85折254元
10500065,252,本商品單次購買10本8折224元
10500068,234,本商品單次購買10本8折208元
10500070,270,本商品單次購買10本8折240元
10500072,297,本商品單次購買10本8折264元
10500073,225,本商品單次購買10本8折200元
10500075,432,本商品單次購買10本8折384元
10500076,179,本商品單次購買10本8折159元
10500078,179,本商品單次購買10本8折159元
10500081,405,本商品單次購買10本8折360元
10500082,171,本商品單次購買10本8折152元
10500084,171,本商品單次購買10本8折152元
10500086,171,本商品單次購買10本8折152元
10500088,171,本商品單次購買10本8折152元
10500089,356,2021/11/30
10500093,225,本商品單次購買10本8折200元
10500095,198,本商品單次購買10本8折176元
10500099,405,本商品單次購買10本8折360元
10500103,117,本商品單次購買10本85折111元
10500108,324,本商品單次購買10本8折288元
10500109,324,本商品單次購買10本85折306元
10500110,432,本商品單次購買10本8折384元
10500116,198,本商品單次購買10本8折176元
10500120,225,本商品單次購買10本8折200元
10500122,225,本商品單次購買10本8折200元
10500124,288,本商品單次購買10本8折256元
10500125,432,本商品單次購買10本8折384元
10500126,225,本商品單次購買10本8折200元
10500127,324,本商品單次購買10本8折288元
10500128,198,本商品單次購買10本8折176元
10500129,324,本商品單次購買10本8折288元
10500130,198,本商品單次購買10本8折176元
10500131,342,本商品單次購買10本8折304元
10500133,342,本商品單次購買10本8折304元
10500134,181,本商品單次購買10本9折171元
10500135,181,本商品單次購買10本9折171元
10500136,181,本商品單次購買10本9折171元
10500138,359,本商品單次購買10本8折319元
10500139,288,本商品單次購買10本85折272元
10500140,315,本商品單次購買10本8折280元
10500141,360,本商品單次購買10本8折320元
10500142,360,本商品單次購買10本8折320元
10500143,225,本商品單次購買10本85折213元
10500144,722,本商品單次購買10本9折684元
10500145,162,本商品單次購買10本8折144元
10500146,179,本商品單次購買10本8折159元
10500147,252,本商品單次購買10本85折238元
10500148,225,本商品單次購買10本8折200元
10500153,405,本商品單次購買10本85折383元
10500155,180,本商品單次購買10本8折160元
10500160,225,本商品單次購買10本8折200元
10500161,86,本商品單次購買10本85折81元
10500162,342,本商品單次購買10本85折323元
10500163,86,本商品單次購買10本85折81元
10500165,432,本商品單次購買10本8折384元
10500166,126,本商品單次購買10本85折119元
10500167,285,本商品單次購買10本9折270元
10500169,108,本商品單次購買10本85折102元
10500170,86,本商品單次購買10本85折81元
10500171,143,None
10500172,143,None
10500173,86,本商品單次購買10本85折81元
10500174,162,None
10500176,280,本商品單次購買10本9折266元
10500177,86,本商品單次購買10本85折81元
10500178,143,None
10500179,228,None
10500180,108,本商品單次購買10本85折102元
10500182,219,None
10500183,108,本商品單次購買10本85折102元
10500184,219,None
10500185,219,None
10500186,143,None
10500187,333,本商品單次購買10本9折315元
10500188,219,None
10500189,90,None
10500190,90,None
10500191,105,None
10500192,114,None
10500194,114,None
10500195,90,None
10500197,450,本商品單次購買10本85折425元
10500198,221,2021/12/10
10500199,252,本商品單次購買10本85折238元
10500200,108,本商品單次購買10本8折96元
10500202,86,本商品單次購買10本8折76元
10500206,180,本商品單次購買10本8折160元
10500209,86,本商品單次購買10本8折76元
10500210,171,本商品單次購買10本8折152元
10500214,172,2021/12/31
10500216,225,本商品單次購買10本85折213元
10500219,108,本商品單次購買10本8折96元
10500220,216,本商品單次購買10本8折192元
10500221,86,本商品單次購買10本8折76元
10500223,86,本商品單次購買10本8折76元
10500224,252,本商品單次購買10本85折238元
10500228,225,本商品單次購買10本85折213元
10500231,405,本商品單次購買10本8折360元
10500233,86,本商品單次購買10本8折76元
10500234,86,本商品單次購買10本8折76元
10500235,102,2021/12/07
10500238,119,2022/01/10
10500241,86,本商品單次購買10本8折76元
10500243,86,本商品單次購買10本8折76元
10500244,108,本商品單次購買10本8折96元
10500246,89,本商品單次購買10本8折79元
10500247,231,2021/12/31
10500248,180,本商品單次購買10本8折160元
10500250,171,本商品單次購買10本8折152元
10500251,225,本商品單次購買10本8折200元
10500253,174,2021/11/30
10500260,270,本商品單次購買10本8折240元
10500265,288,本商品單次購買10本8折256元
10500266,178,本商品單次購買10本8折158元
10500268,178,本商品單次購買10本8折158元
10500275,475,本商品單次購買10本85折425元
10500277,333,None
10500278,197,2021/12/17
10500279,143,None
10500281,238,None
10500283,198,本商品單次購買10本8折176元
10500284,333,None
10500285,342,本商品單次購買10本8折304元
10500287,238,None
10500291,428,None
10500293,475,None
10500295,117,本商品單次購買10本85折111元
10500298,238,None
10500301,238,None
10500303,428,None
10500305,333,None
10500306,95,None
10500307,95,None
10500308,95,None
10500310,198,2021/12/12
10500311,95,None
10500312,225,本商品單次購買10本8折200元
10500313,95,None
10500314,234,本商品單次購買10本8折208元
10500316,95,None
10500317,450,本商品單次購買10本8折400元
10500320,95,None
10500321,288,本商品單次購買10本85折272元
10500322,95,None
10500323,95,None
10500324,713,None
10500325,90,None
10500326,114,None
10500327,114,None
10500328,475,None
10500329,114,None
10500330,90,None
10500331,90,None
10500332,143,None
10500333,81,2021/11/30
10500334,238,None
10500335,237,2021/12/12
10500336,190,2021/12/12
10500338,205,2021/12/12
10500341,138,2021/12/10
10500344,495,本商品單次購買10本8折440元
10500348,342,本商品單次購買10本8折304元
10500351,269,本商品單次購買10本8折239元
10500352,151,本商品單次購買10本8折134元
10500353,288,本商品單次購買10本8折256元
10500354,288,本商品單次購買10本8折256元
10500355,378,本商品單次購買10本8折336元
10500356,378,本商品單次購買10本8折336元
10500357,248,本商品單次購買10本8折220元
10500358,171,本商品單次購買10本8折152元
10500359,171,本商品單次購買10本8折152元
10500363,252,本商品單次購買10本8折224元
10500364,261,本商品單次購買10本8折232元
10500366,269,本商品單次購買10本8折239元
10500368,234,本商品單次購買10本8折208元
10500369,727,本商品單次購買10本9折689元
10500370,252,本商品單次購買10本8折224元
10500372,270,本商品單次購買10本8折240元
10500374,225,本商品單次購買10本8折200元
10500376,288,本商品單次購買10本8折256元
10500377,375,本商品單次購買10本9折356元
10500379,216,本商品單次購買10本8折192元
10500381,288,本商品單次購買10本8折256元
10500383,270,本商品單次購買10本8折240元
10500384,224,本商品單次購買10本8折199元
10500385,315,本商品單次購買10本8折280元
10500391,315,本商品單次購買10本8折280元
10500398,279,本商品單次購買10本85折264元
10500400,279,本商品單次購買10本85折264元
10500401,288,本商品單次購買10本8折256元
10500404,279,本商品單次購買10本8折248元
10500409,279,本商品單次購買10本8折248元
10500414,279,本商品單次購買10本8折248元
10500419,540,本商品單次購買10本8折480元
10500421,279,本商品單次購買10本8折248元
10500425,167,本商品單次購買10本8折148元
10500430,297,本商品單次購買10本8折264元
10500431,285,本商品單次購買10本9折270元
10500432,108,本商品單次購買10本8折96元
10500433,108,本商品單次購買10本8折96元
10500435,108,本商品單次購買10本8折96元
10500436,198,2022/01/08
10500438,551,本商品單次購買10本9折522元
10500439,221,2021/12/12
10500440,108,本商品單次購買10本8折96元
10500441,333,本商品單次購買10本9折315元
10500442,108,本商品單次購買10本8折96元
10500443,285,本商品單次購買10本9折270元
10500447,108,本商品單次購買10本8折96元
10500448,270,本商品單次購買10本8折240元
10500450,243,本商品單次購買10本8折216元
10500452,90,None
10500453,90,None
10500454,90,None
10500456,90,None
10500457,90,None
10500458,108,本商品單次購買10本85折102元
10500459,108,本商品單次購買10本85折102元
10500461,108,本商品單次購買10本85折102元
10500462,108,本商品單次購買10本85折102元
10500463,179,本商品單次購買10本8折159元
10500464,269,本商品單次購買10本8折239元
10500467,1404,本商品單次購買10本8折1248元
10500470,237,2021/12/07
10500475,760,None
10500477,760,None
10500480,285,None
10500481,475,None
10500482,238,None
10500483,380,None
10500484,380,None
10500485,238,None
10500486,238,None
10500488,198,本商品單次購買10本8折176元
10500489,179,本商品單次購買10本85折169元
10500502,361,本商品單次購買10本9折342元
10500504,340,2021/12/31
10500505,269,本商品單次購買10本8折239元
10500506,323,2021/12/31
10500512,269,本商品單次購買10本8折239元
10500517,269,本商品單次購買10本8折239元
10500519,255,2021/12/31
10500520,198,本商品單次購買10本85折187元
10500522,180,本商品單次購買10本8折160元
10500524,225,本商品單次購買10本85折213元
10500525,252,本商品單次購買10本8折224元
10500526,371,本商品單次購買10本9折351元
10500529,399,本商品單次購買10本9折378元
10500530,272,2021/12/31
10500531,162,本商品單次購買10本8折144元
10500532,172,2021/12/31
10500533,270,本商品單次購買10本85折255元
10500534,198,本商品單次購買10本85折187元
10500536,225,本商品單次購買10本85折213元
10500537,198,本商品單次購買10本85折187元
10500539,180,本商品單次購買10本8折160元
10500541,288,本商品單次購買10本8折256元
10500542,198,本商品單次購買10本85折187元
10500544,252,本商品單次購買10本85折238元
10500545,180,本商品單次購買10本85折170元
10500546,216,本商品單次購買10本8折192元
10500547,179,本商品單次購買10本8折159元
10500548,180,本商品單次購買10本85折170元
10500549,198,本商品單次購買10本85折187元
10500550,6750,本商品單次購買10本8折6000元
10500551,288,本商品單次購買10本8折256元
10500553,315,本商品單次購買10本8折280元
10500554,90,None
10500555,105,None
10500556,342,本商品單次購買10本85折323元
10500557,114,None
10500558,114,None
10500559,360,本商品單次購買10本8折320元
10500560,90,None
10500564,90,None
10500565,269,本商品單次購買10本8折239元
10500566,315,本商品單次購買10本85折298元
10500567,360,本商品單次購買10本8折320元
10500569,252,本商品單次購買10本85折238元
10500570,360,本商品單次購買10本8折320元
10500571,360,本商品單次購買10本85折340元
10500572,225,本商品單次購買10本85折213元
10500573,1350,本商品單次購買10本8折1200元
10500574,252,本商品單次購買10本85折238元
10500580,270,本商品單次購買10本8折240元
10500581,126,本商品單次購買10本85折119元
10500582,252,本商品單次購買10本8折224元
10500586,108,本商品單次購買10本85折102元
10500588,190,2021/12/20
10500589,108,本商品單次購買10本85折102元
10500590,252,本商品單次購買10本8折224元
10500592,252,本商品單次購買10本8折224元
10500593,252,本商品單次購買10本85折238元
10500597,409,本商品單次購買10本9折387元
10500599,288,本商品單次購買10本85折272元
10500602,44,本商品單次購買10本85折42元
10500603,288,本商品單次購買10本85折272元
10500605,360,本商品單次購買10本8折320元
10500607,44,本商品單次購買10本85折42元
10500608,360,本商品單次購買10本85折340元
10500610,261,本商品單次購買10本85折247元
10500611,630,本商品單次購買10本85折595元
10500612,540,本商品單次購買10本8折480元
10500613,315,本商品單次購買10本85折298元
10500614,221,2021/12/27
10500615,315,本商品單次購買10本85折298元
10500616,252,本商品單次購買10本85折238元
10500619,411,2021/12/08
10500620,300,2021/12/08
10500621,288,本商品單次購買10本85折272元
10500623,189,本商品單次購買10本8折168元
10500624,189,本商品單次購買10本8折168元
10500626,189,本商品單次購買10本8折168元
10500627,189,本商品單次購買10本8折168元
10500629,189,本商品單次購買10本8折168元
10500630,333,本商品單次購買10本9折315元
10500633,150,2021/12/07
10500634,181,本商品單次購買10本9折171元
10500635,181,本商品單次購買10本9折171元
10500636,432,本商品單次購買10本85折408元
10500637,158,2021/12/10
10500638,138,2021/12/10
10500639,138,2021/12/10
10500640,198,本商品單次購買10本85折187元
10500641,198,本商品單次購買10本85折187元
10500644,209,本商品單次購買10本9折198元
10500646,86,本商品單次購買10本85折81元
10500647,108,本商品單次購買10本85折102元
10500648,108,本商品單次購買10本85折102元
10500649,108,本商品單次購買10本85折102元
10500651,428,本商品單次購買10本9折405元
10500653,288,本商品單次購買10本8折256元
