10201858,9789864180677,麥哲倫,黃雪姣,None,None,世一,2002/08/26,140
10201859,9789574929795,精編辭海,雷飛鴻,None,None,世一,2002/06/30,700
10201861,9789864180660,實用國語辭典,世一辭典編輯委員會,None,None,世一,2002/08/26,370
10201864,9789577337290,親愛的，我跟小肥肉分手了！：HANACO的苗條瘦身備忘錄,Hanaco,None,None,新雨,2002/08/20,199
10201865,9789577337252,幻滅爵士年代,史考特‧費茲傑羅,F. Scott Fitzgerald,柔之,新雨,2002/08/20,180
10201866,9789577337283,亞瑪諾國往還記,倉橋由美子,None,余織詩,新雨,2002/08/20,380
10201869,9789861107271,硬漢VS鐵漢 17,小澤としお,None,None,東立,2002/08/27,80
10201870,9789861106656,紅粉佳人 1,入江紀子,None,None,東立,2002/08/28,80
10201871,9789861109640,維納斯的單戀 7,中路有紀,None,None,東立,2002/08/29,85
10201872,9789861107837,陽光家族 2 (完),柳原 望,None,None,東立,2002/08/29,80
10201874,9789861101309,冒牌流氓會社 1,武論尊，安達 剛,None,None,東立,2002/09/04,105
10201875,9789861110073,POWER!!活力100% 5,清野靜流,None,None,東立,2002/08/28,80
10201876,9789861106502,戀愛野獸派 (全),ゆうき刹那,None,馬姬,東立,2002/09/20,80
10201877,9789861106472,戀愛膠囊 (全),アリスン,None,翁蛉玲,東立,2002/08/30,80
10201899,9789574596867,英文寫作ALL PASS,黃翊帆,None,None,語研村,2002/08/21,210
10202072,9789576633515,取個英文好名字,麥坤,None,None,文經社,2002/09/05,140
10202073,9789570443431,酷爸爸作戰手札,亞瑟克．哈克,None,劉興華,宜高文化,2002/04/20,200
10202074,9789571337388,盲目,喬賽‧薩拉馬戈,Jose Saramago,彭玲嫻,時報出版,2002/08/26,300
10202075,9789571337401,成功者的構思,大前研一，田原總一朗,None,王麗芳,時報出版,2002/08/26,260
10202076,9789868016736,田井宏的健身書,劉田井宏,None,None,華人版圖,2002/08/26,280
10202363,9789574704354,寧可單身，也不愛「草莓男」－教你辨識15種好看卻一壓就爛的「草莓」型惡男,茱萸,None,None,平凡社,2002/07/15,180
10202364,9789574704361,多喝水果酒，輕鬆抗老防癌：讓你長生不老、病痛不到的20種日常鮮果療法,李傳修,None,None,快活堂,2002/07/15,170
10202366,9789571026084,白銀谷〈上〉,成一,None,None,尖端,2002/09/20,220
