10200101,270,本商品單次購買10本8折240元
10200102,182,2021/12/12
10200103,237,2021/12/12
10200104,142,2021/12/12
10200139,225,本商品單次購買10本8折200元
10200140,288,本商品單次購買10本8折256元
10200141,144,本商品單次購買10本8折128元
10200143,315,本商品單次購買10本8折280元
10200243,306,本商品單次購買10本8折272元
10200244,306,本商品單次購買10本8折272元
10200245,306,本商品單次購買10本8折272元
10200251,253,2021/12/12
10200253,162,本商品單次購買10本8折144元
10200304,153,本商品單次購買10本8折136元
10200305,324,本商品單次購買10本8折288元
10200306,269,本商品單次購買10本8折239元
10200308,162,本商品單次購買10本8折144元
10200310,171,本商品單次購買10本8折152元
10200311,171,本商品單次購買10本8折152元
10200312,180,本商品單次購買10本8折160元
10200314,324,本商品單次購買10本85折306元
10200470,162,本商品單次購買10本85折153元
10200471,180,本商品單次購買10本85折170元
10200475,180,本商品單次購買10本8折160元
10200552,306,本商品單次購買10本8折272元
10200557,225,本商品單次購買10本8折200元
10200558,134,本商品單次購買10本8折119元
10200561,162,本商品單次購買10本8折144元
10200764,90,None
10200920,190,2021/11/30
10200921,221,2021/11/30
10200922,182,2021/11/30
10200923,158,2021/11/30
10200925,205,2021/11/30
10200926,269,本商品單次購買10本8折239元
10200928,134,本商品單次購買10本8折119元
10200935,135,本商品單次購買10本8折120元
10200954,216,本商品單次購買10本8折192元
10201231,225,本商品單次購買10本8折200元
10201232,288,本商品單次購買10本85折272元
10201234,89,本商品單次購買10本85折84元
10201235,379,2021/12/17
10201243,269,本商品單次購買10本8折239元
10201457,315,本商品單次購買10本8折280元
10201464,216,本商品單次購買10本8折192元
10201742,76,None
10201743,76,None
10201744,76,None
10201745,76,None
10201746,76,None
10201747,76,None
10201748,288,本商品單次購買10本8折256元
10201799,126,本商品單次購買10本8折112元
10201800,315,本商品單次購買10本8折280元
10201801,540,本商品單次購買10本8折480元
10201803,269,本商品單次購買10本8折239元
10201805,180,本商品單次購買10本8折160元
10201858,126,本商品單次購買10本8折112元
10201859,630,本商品單次購買10本8折560元
10201861,333,本商品單次購買10本8折296元
10201864,179,本商品單次購買10本8折159元
10201865,162,本商品單次購買10本8折144元
10201866,342,本商品單次購買10本8折304元
10201869,76,None
10201870,76,None
10201871,81,None
10201872,76,None
10201874,100,None
10201875,76,None
10201876,76,None
10201877,76,None
